ID,X,Y,File
1,400,150,rssi_data_Rs1
2,350,150,rssi_data_Rs2
3,300,150,rssi_data_Rs3
4,250,150,rssi_data_Rs4
5,200,150,rssi_data_Rs5
6,150,150,rssi_data_Rs6
7,100,150,rssi_data_Rs7
8,50,150,rssi_data_Rs8
9,50,200,rssi_data_Rs9
10,100,200,rssi_data_Rs10
11,150,200,rssi_data_Rs11
12,200,200,rssi_data_Rs12
13,250,200,rssi_data_Rs13
14,300,200,rssi_data_Rs14
15,350,200,rssi_data_Rs15
16,400,200,rssi_data_Rs16
17,400,250,rssi_data_Rs17
18,350,250,rssi_data_Rs18
19,300,250,rssi_data_Rs19
20,250,250,rssi_data_Rs20
21,200,250,rssi_data_Rs21
22,150,250,rssi_data_Rs22
23,100,250,rssi_data_Rs23
24,50,250,rssi_data_Rs24
25,50,300,rssi_data_Rs25
26,100,300,rssi_data_Rs26
27,150,300,rssi_data_Rs27
28,200,300,rssi_data_Rs28
29,250,300,rssi_data_Rs29
30,300,300,rssi_data_Rs30
31,350,300,rssi_data_Rs31
32,400,300,rssi_data_Rs32
33,400,350,rssi_data_Rs33
34,350,350,rssi_data_Rs34
35,300,350,rssi_data_Rs35
36,250,350,rssi_data_Rs36
37,200,350,rssi_data_Rs37
38,150,350,rssi_data_Rs38
39,100,350,rssi_data_Rs39
40,50,350,rssi_data_Rs40
41,50,400,rssi_data_Rs41
42,100,400,rssi_data_Rs42
43,150,400,rssi_data_Rs43
44,200,400,rssi_data_Rs44
45,250,400,rssi_data_Rs45
46,300,400,rssi_data_Rs46
47,350,400,rssi_data_Rs47
48,400,400,rssi_data_Rs48
49,400,450,rssi_data_Rs49
50,350,450,rssi_data_Rs50
51,300,450,rssi_data_Rs51
52,250,450,rssi_data_Rs52
53,200,450,rssi_data_Rs53
54,150,450,rssi_data_Rs54
55,100,450,rssi_data_Rs55
56,50,450,rssi_data_Rs56
