RP_ID,X,Y,2C:CF:67:C8:DD:D0,2C:CF:67:C8:DD:EA
1,400,150,-64.5001100030191,-61.53968675332917
2,350,150,-63.725549094146736,-58.79317919837092
3,300,150,-62.49531854033857,-57.23670909903707
4,250,150,-60.920213039644096,-54.05453398917596
5,200,150,-58.12776934761554,-58.65792924427692
6,150,150,-58.277774705325974,-66.36697796154562
7,100,150,-64.44384134962397,-69.29085099416814
8,50,150,-67.67044914266727,-63.53449074673746
9,50,200,-68.46781536222413,-59.24318973253802
10,100,200,-65.20604213070769,-66.48502555934196
11,150,200,-57.84213197987714,-63.084595975505465
12,200,200,-59.31306914843255,-65.37220734326752
13,250,200,-59.89169437566568,-63.655248521693956
14,300,200,-63.466065729389165,-67.44051705024768
15,350,200,-58.04337309912562,-56.54718707522196
16,400,200,-65.99766981024794,-57.793849714928115
17,400,250,-65.01964533861285,-53.308055299190556
18,350,250,-62.36952669859135,-61.85653798391336
19,300,250,-62.02131414229013,-57.99237513884157
20,250,250,-62.144023135894024,-58.485589085808996
21,200,250,-60.4293579154609,-58.53810598209007
22,150,250,-66.5683345566544,-60.118644028265635
23,100,250,-59.845170808661436,-62.505595865196156
24,50,250,-61.31580083348908,-58.58550831175731
25,50,300,-64.85955841263741,-64.76751669263263
26,100,300,-59.386630927160795,-59.87131640503502
27,150,300,-66.15917307491011,-60.19969475651436
28,200,300,-68.65783036977228,-55.3130074361635
29,250,300,-61.118403263066725,-61.16859291495707
30,300,300,-65.67422526702236,-50.647319759402336
31,350,300,-66.87874541625649,-61.51007570684931
32,400,300,-65.82541740956923,-56.875098369690804
33,400,350,-64.01902224005973,-60.42664727554529
34,350,350,-69.852199763661,-64.81121520570781
35,300,350,-62.8233097838641,-63.0641867672176
36,250,350,-61.35508760417996,-64.68909868059934
37,200,350,-65.38296381647946,-72.14903634783975
38,150,350,-66.09258464190457,-64.7258728363919
39,100,350,-59.03741477080772,-60.7957028456626
40,50,350,-64.05991106580338,-66.52773611705167
41,50,400,-62.88633752976702,-62.81639038782544
42,100,400,-70.07076202326719,-74.10624489012567
43,150,400,-67.42263824365806,-69.49800535629612
44,200,400,-62.67466131654789,-65.66946022915899
45,250,400,-63.315751912795776,-61.72028435635713
46,300,400,-60.186313069156704,-60.4745754059029
47,350,400,-74.88433543917097,-61.09523698748356
48,400,400,-67.11491729706847,-59.70770248956524
49,400,450,-67.89985540477538,-69.09424086744845
50,350,450,-63.59269003865312,-55.36572779351365
51,300,450,-58.63534978374361,-56.65451101005683
52,250,450,-61.292233465286216,-58.31308525912283
53,200,450,-66.19357073575434,-60.539024557161056
54,150,450,-64.99325287515727,-59.15816300677801
55,100,450,-64.84024623413742,-59.39739298604006
56,50,450,-61.284719510032424,-60.67797253431046
